Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2011Q1,Apartment,Dublin City Council,59
New Dwelling Completion,2011Q1,Apartment,Dún Laoghaire Rathdown County Council,8
New Dwelling Completion,2011Q1,Apartment,Donegal County Council,12
New Dwelling Completion,2011Q1,Apartment,Fingal County Council,14
New Dwelling Completion,2011Q1,Apartment,Galway County Council,0
New Dwelling Completion,2011Q1,Apartment,Galway City Council,7
New Dwelling Completion,2011Q1,Apartment,Kildare County Council,72
New Dwelling Completion,2011Q1,Apartment,Kilkenny County Council,3
New Dwelling Completion,2011Q1,Apartment,Kerry County Council,3
New Dwelling Completion,2011Q1,Apartment,Longford County Council,0
New Dwelling Completion,2011Q1,Apartment,Louth County Council,0
New Dwelling Completion,2011Q1,Apartment,Limerick City & County Council,4
New Dwelling Completion,2011Q1,Apartment,Leitrim County Council,22
New Dwelling Completion,2011Q1,Apartment,Laois County Council,0
New Dwelling Completion,2011Q1,Apartment,Meath County Council,3
New Dwelling Completion,2011Q1,Apartment,Monaghan County Council,0
New Dwelling Completion,2011Q1,Apartment,Mayo County Council,0
New Dwelling Completion,2011Q1,Apartment,Offaly County Council,0
New Dwelling Completion,2011Q1,Apartment,Roscommon County Council,0
New Dwelling Completion,2011Q1,Apartment,South Dublin County Council,11
New Dwelling Completion,2011Q1,Apartment,Sligo County Council,7
New Dwelling Completion,2011Q1,Apartment,Tipperary County Council,11
New Dwelling Completion,2011Q1,Apartment,Waterford City & County Council,1
New Dwelling Completion,2011Q1,Apartment,Westmeath County Council,0
New Dwelling Completion,2011Q1,Apartment,Wicklow County Council,27
New Dwelling Completion,2011Q1,Apartment,Wexford County Council,0
New Dwelling Completion,2011Q1,Apartment,Ireland,272
New Dwelling Completion,2011Q1,All house types,Cork City Council,39
New Dwelling Completion,2011Q1,All house types,Clare County Council,52
New Dwelling Completion,2011Q1,All house types,Cavan County Council,61
New Dwelling Completion,2011Q1,All house types,Cork County Council,168
New Dwelling Completion,2011Q1,All house types,Carlow County Council,17
New Dwelling Completion,2011Q1,All house types,Dublin City Council,72
New Dwelling Completion,2011Q1,All house types,Dún Laoghaire Rathdown County Council,30
New Dwelling Completion,2011Q1,All house types,Donegal County Council,118
New Dwelling Completion,2011Q1,All house types,Fingal County Council,144
New Dwelling Completion,2011Q1,All house types,Galway County Council,93
New Dwelling Completion,2011Q1,All house types,Galway City Council,15
New Dwelling Completion,2011Q1,All house types,Kildare County Council,126
New Dwelling Completion,2011Q1,All house types,Kilkenny County Council,40
New Dwelling Completion,2011Q1,All house types,Kerry County Council,62
New Dwelling Completion,2011Q1,All house types,Longford County Council,11
New Dwelling Completion,2011Q1,All house types,Louth County Council,48
New Dwelling Completion,2011Q1,All house types,Limerick City & County Council,54
New Dwelling Completion,2011Q1,All house types,Leitrim County Council,42
New Dwelling Completion,2011Q1,All house types,Laois County Council,34
New Dwelling Completion,2011Q1,All house types,Meath County Council,70
New Dwelling Completion,2011Q1,All house types,Monaghan County Council,26
New Dwelling Completion,2011Q1,All house types,Mayo County Council,67
New Dwelling Completion,2011Q1,All house types,Offaly County Council,28
New Dwelling Completion,2011Q1,All house types,Roscommon County Council,26
New Dwelling Completion,2011Q1,All house types,South Dublin County Council,41
New Dwelling Completion,2011Q1,All house types,Sligo County Council,52
New Dwelling Completion,2011Q1,All house types,Tipperary County Council,63
New Dwelling Completion,2011Q1,All house types,Waterford City & County Council,96
New Dwelling Completion,2011Q1,All house types,Westmeath County Council,33
New Dwelling Completion,2011Q1,All house types,Wicklow County Council,74
New Dwelling Completion,2011Q1,All house types,Wexford County Council,73
New Dwelling Completion,2011Q1,All house types,Ireland,1875
New Dwelling Completion,2011Q2,Single house,Cork City Council,16
New Dwelling Completion,2011Q2,Single house,Clare County Council,41
New Dwelling Completion,2011Q2,Single house,Cavan County Council,27
New Dwelling Completion,2011Q2,Single house,Cork County Council,159
New Dwelling Completion,2011Q2,Single house,Carlow County Council,16
New Dwelling Completion,2011Q2,Single house,Dublin City Council,13
New Dwelling Completion,2011Q2,Single house,Dún Laoghaire Rathdown County Council,12
New Dwelling Completion,2011Q2,Single house,Donegal County Council,106
New Dwelling Completion,2011Q2,Single house,Fingal County Council,22
New Dwelling Completion,2011Q2,Single house,Galway County Council,104
New Dwelling Completion,2011Q2,Single house,Galway City Council,7
New Dwelling Completion,2011Q2,Single house,Kildare County Council,36
New Dwelling Completion,2011Q2,Single house,Kilkenny County Council,41
New Dwelling Completion,2011Q2,Single house,Kerry County Council,65
New Dwelling Completion,2011Q2,Single house,Longford County Council,12
New Dwelling Completion,2011Q2,Single house,Louth County Council,28
New Dwelling Completion,2011Q2,Single house,Limerick City & County Council,46
New Dwelling Completion,2011Q2,Single house,Leitrim County Council,13
New Dwelling Completion,2011Q2,Single house,Laois County Council,26
New Dwelling Completion,2011Q2,Single house,Meath County Council,55
New Dwelling Completion,2011Q2,Single house,Monaghan County Council,20
New Dwelling Completion,2011Q2,Single house,Mayo County Council,46
New Dwelling Completion,2011Q2,Single house,Offaly County Council,32
New Dwelling Completion,2011Q2,Single house,Roscommon County Council,29
New Dwelling Completion,2011Q2,Single house,South Dublin County Council,7
New Dwelling Completion,2011Q2,Single house,Sligo County Council,27
New Dwelling Completion,2011Q2,Single house,Tipperary County Council,44
New Dwelling Completion,2011Q2,Single house,Waterford City & County Council,26
New Dwelling Completion,2011Q2,Single house,Westmeath County Council,30
New Dwelling Completion,2011Q2,Single house,Wicklow County Council,21
New Dwelling Completion,2011Q2,Single house,Wexford County Council,67
New Dwelling Completion,2011Q2,Single house,Ireland,1194
New Dwelling Completion,2011Q2,Scheme house,Cork City Council,14
New Dwelling Completion,2011Q2,Scheme house,Clare County Council,8
New Dwelling Completion,2011Q2,Scheme house,Cavan County Council,1
New Dwelling Completion,2011Q2,Scheme house,Cork County Council,24
New Dwelling Completion,2011Q2,Scheme house,Carlow County Council,8
New Dwelling Completion,2011Q2,Scheme house,Dublin City Council,7
New Dwelling Completion,2011Q2,Scheme house,Dún Laoghaire Rathdown County Council,5
New Dwelling Completion,2011Q2,Scheme house,Donegal County Council,32
New Dwelling Completion,2011Q2,Scheme house,Fingal County Council,88
New Dwelling Completion,2011Q2,Scheme house,Galway County Council,4
New Dwelling Completion,2011Q2,Scheme house,Galway City Council,9
New Dwelling Completion,2011Q2,Scheme house,Kildare County Council,4
New Dwelling Completion,2011Q2,Scheme house,Kilkenny County Council,9
New Dwelling Completion,2011Q2,Scheme house,Kerry County Council,2
New Dwelling Completion,2011Q2,Scheme house,Longford County Council,0
New Dwelling Completion,2011Q2,Scheme house,Louth County Council,19
New Dwelling Completion,2011Q2,Scheme house,Limerick City & County Council,2
New Dwelling Completion,2011Q2,Scheme house,Leitrim County Council,0
New Dwelling Completion,2011Q2,Scheme house,Laois County Council,6
New Dwelling Completion,2011Q2,Scheme house,Meath County Council,6
New Dwelling Completion,2011Q2,Scheme house,Monaghan County Council,0
New Dwelling Completion,2011Q2,Scheme house,Mayo County Council,9
New Dwelling Completion,2011Q2,Scheme house,Offaly County Council,4
New Dwelling Completion,2011Q2,Scheme house,Roscommon County Council,23
New Dwelling Completion,2011Q2,Scheme house,South Dublin County Council,8
New Dwelling Completion,2011Q2,Scheme house,Sligo County Council,7
New Dwelling Completion,2011Q2,Scheme house,Tipperary County Council,50
New Dwelling Completion,2011Q2,Scheme house,Waterford City & County Council,3
New Dwelling Completion,2011Q2,Scheme house,Westmeath County Council,6
New Dwelling Completion,2011Q2,Scheme house,Wicklow County Council,12
New Dwelling Completion,2011Q2,Scheme house,Wexford County Council,10
New Dwelling Completion,2011Q2,Scheme house,Ireland,380
New Dwelling Completion,2011Q2,Apartment,Cork City Council,6
New Dwelling Completion,2011Q2,Apartment,Clare County Council,0
New Dwelling Completion,2011Q2,Apartment,Cavan County Council,0
New Dwelling Completion,2011Q2,Apartment,Cork County Council,17
New Dwelling Completion,2011Q2,Apartment,Carlow County Council,0
New Dwelling Completion,2011Q2,Apartment,Dublin City Council,89
New Dwelling Completion,2011Q2,Apartment,Dún Laoghaire Rathdown County Council,51
New Dwelling Completion,2011Q2,Apartment,Donegal County Council,1
New Dwelling Completion,2011Q2,Apartment,Fingal County Council,24
New Dwelling Completion,2011Q2,Apartment,Galway County Council,0
New Dwelling Completion,2011Q2,Apartment,Galway City Council,1
New Dwelling Completion,2011Q2,Apartment,Kildare County Council,2
New Dwelling Completion,2011Q2,Apartment,Kilkenny County Council,0
New Dwelling Completion,2011Q2,Apartment,Kerry County Council,0
New Dwelling Completion,2011Q2,Apartment,Longford County Council,2
New Dwelling Completion,2011Q2,Apartment,Louth County Council,6
New Dwelling Completion,2011Q2,Apartment,Limerick City & County Council,1
New Dwelling Completion,2011Q2,Apartment,Leitrim County Council,0
New Dwelling Completion,2011Q2,Apartment,Laois County Council,1
New Dwelling Completion,2011Q2,Apartment,Meath County Council,3
New Dwelling Completion,2011Q2,Apartment,Monaghan County Council,1
New Dwelling Completion,2011Q2,Apartment,Mayo County Council,4
New Dwelling Completion,2011Q2,Apartment,Offaly County Council,0
New Dwelling Completion,2011Q2,Apartment,Roscommon County Council,2
New Dwelling Completion,2011Q2,Apartment,South Dublin County Council,1
New Dwelling Completion,2011Q2,Apartment,Sligo County Council,0
New Dwelling Completion,2011Q2,Apartment,Tipperary County Council,0
New Dwelling Completion,2011Q2,Apartment,Waterford City & County Council,0
New Dwelling Completion,2011Q2,Apartment,Westmeath County Council,1
New Dwelling Completion,2011Q2,Apartment,Wicklow County Council,4
New Dwelling Completion,2011Q2,Apartment,Wexford County Council,0
New Dwelling Completion,2011Q2,Apartment,Ireland,217
New Dwelling Completion,2011Q2,All house types,Cork City Council,36
New Dwelling Completion,2011Q2,All house types,Clare County Council,49
New Dwelling Completion,2011Q2,All house types,Cavan County Council,28
New Dwelling Completion,2011Q2,All house types,Cork County Council,200
New Dwelling Completion,2011Q2,All house types,Carlow County Council,24
New Dwelling Completion,2011Q2,All house types,Dublin City Council,109
New Dwelling Completion,2011Q2,All house types,Dún Laoghaire Rathdown County Council,68
New Dwelling Completion,2011Q2,All house types,Donegal County Council,139
New Dwelling Completion,2011Q2,All house types,Fingal County Council,134
New Dwelling Completion,2011Q2,All house types,Galway County Council,108
New Dwelling Completion,2011Q2,All house types,Galway City Council,17
New Dwelling Completion,2011Q2,All house types,Kildare County Council,42
New Dwelling Completion,2011Q2,All house types,Kilkenny County Council,50
New Dwelling Completion,2011Q2,All house types,Kerry County Council,67
New Dwelling Completion,2011Q2,All house types,Longford County Council,14
New Dwelling Completion,2011Q2,All house types,Louth County Council,53
New Dwelling Completion,2011Q2,All house types,Limerick City & County Council,49
New Dwelling Completion,2011Q2,All house types,Leitrim County Council,13
New Dwelling Completion,2011Q2,All house types,Laois County Council,33
New Dwelling Completion,2011Q2,All house types,Meath County Council,64
New Dwelling Completion,2011Q2,All house types,Monaghan County Council,21
New Dwelling Completion,2011Q2,All house types,Mayo County Council,59
New Dwelling Completion,2011Q2,All house types,Offaly County Council,36
New Dwelling Completion,2011Q2,All house types,Roscommon County Council,54
New Dwelling Completion,2011Q2,All house types,South Dublin County Council,16
New Dwelling Completion,2011Q2,All house types,Sligo County Council,34
New Dwelling Completion,2011Q2,All house types,Tipperary County Council,94
New Dwelling Completion,2011Q2,All house types,Waterford City & County Council,29
New Dwelling Completion,2011Q2,All house types,Westmeath County Council,37
New Dwelling Completion,2011Q2,All house types,Wicklow County Council,37
New Dwelling Completion,2011Q2,All house types,Wexford County Council,77
New Dwelling Completion,2011Q2,All house types,Ireland,1791
New Dwelling Completion,2011Q3,Single house,Cork City Council,9
New Dwelling Completion,2011Q3,Single house,Clare County Council,41
New Dwelling Completion,2011Q3,Single house,Cavan County Council,43
New Dwelling Completion,2011Q3,Single house,Cork County Council,145
New Dwelling Completion,2011Q3,Single house,Carlow County Council,22
New Dwelling Completion,2011Q3,Single house,Dublin City Council,17
New Dwelling Completion,2011Q3,Single house,Dún Laoghaire Rathdown County Council,11
New Dwelling Completion,2011Q3,Single house,Donegal County Council,99
New Dwelling Completion,2011Q3,Single house,Fingal County Council,16
New Dwelling Completion,2011Q3,Single house,Galway County Council,95
New Dwelling Completion,2011Q3,Single house,Galway City Council,5
New Dwelling Completion,2011Q3,Single house,Kildare County Council,35
New Dwelling Completion,2011Q3,Single house,Kilkenny County Council,45
New Dwelling Completion,2011Q3,Single house,Kerry County Council,55
New Dwelling Completion,2011Q3,Single house,Longford County Council,8
New Dwelling Completion,2011Q3,Single house,Louth County Council,25
New Dwelling Completion,2011Q3,Single house,Limerick City & County Council,41
New Dwelling Completion,2011Q3,Single house,Leitrim County Council,14
New Dwelling Completion,2011Q3,Single house,Laois County Council,21
New Dwelling Completion,2011Q3,Single house,Meath County Council,52
New Dwelling Completion,2011Q3,Single house,Monaghan County Council,29
New Dwelling Completion,2011Q3,Single house,Mayo County Council,75
New Dwelling Completion,2011Q3,Single house,Offaly County Council,24
New Dwelling Completion,2011Q3,Single house,Roscommon County Council,30
New Dwelling Completion,2011Q3,Single house,South Dublin County Council,8
New Dwelling Completion,2011Q3,Single house,Sligo County Council,25
New Dwelling Completion,2011Q3,Single house,Tipperary County Council,60
New Dwelling Completion,2011Q3,Single house,Waterford City & County Council,23
New Dwelling Completion,2011Q3,Single house,Westmeath County Council,21
New Dwelling Completion,2011Q3,Single house,Wicklow County Council,42
New Dwelling Completion,2011Q3,Single house,Wexford County Council,61
New Dwelling Completion,2011Q3,Single house,Ireland,1197
New Dwelling Completion,2011Q3,Scheme house,Cork City Council,7
New Dwelling Completion,2011Q3,Scheme house,Clare County Council,1
New Dwelling Completion,2011Q3,Scheme house,Cavan County Council,2
New Dwelling Completion,2011Q3,Scheme house,Cork County Council,17
New Dwelling Completion,2011Q3,Scheme house,Carlow County Council,2
New Dwelling Completion,2011Q3,Scheme house,Dublin City Council,4
New Dwelling Completion,2011Q3,Scheme house,Dún Laoghaire Rathdown County Council,0
New Dwelling Completion,2011Q3,Scheme house,Donegal County Council,15
New Dwelling Completion,2011Q3,Scheme house,Fingal County Council,20
New Dwelling Completion,2011Q3,Scheme house,Galway County Council,6
New Dwelling Completion,2011Q3,Scheme house,Galway City Council,0
New Dwelling Completion,2011Q3,Scheme house,Kildare County Council,7
New Dwelling Completion,2011Q3,Scheme house,Kilkenny County Council,39
New Dwelling Completion,2011Q3,Scheme house,Kerry County Council,19
New Dwelling Completion,2011Q3,Scheme house,Longford County Council,4
New Dwelling Completion,2011Q3,Scheme house,Louth County Council,5
New Dwelling Completion,2011Q3,Scheme house,Limerick City & County Council,12
New Dwelling Completion,2011Q3,Scheme house,Leitrim County Council,0
New Dwelling Completion,2011Q3,Scheme house,Laois County Council,3
New Dwelling Completion,2011Q3,Scheme house,Meath County Council,24
New Dwelling Completion,2011Q3,Scheme house,Monaghan County Council,2
New Dwelling Completion,2011Q3,Scheme house,Mayo County Council,39
New Dwelling Completion,2011Q3,Scheme house,Offaly County Council,0
New Dwelling Completion,2011Q3,Scheme house,Roscommon County Council,8
New Dwelling Completion,2011Q3,Scheme house,South Dublin County Council,8
New Dwelling Completion,2011Q3,Scheme house,Sligo County Council,7
New Dwelling Completion,2011Q3,Scheme house,Tipperary County Council,12
New Dwelling Completion,2011Q3,Scheme house,Waterford City & County Council,5
New Dwelling Completion,2011Q3,Scheme house,Westmeath County Council,1
New Dwelling Completion,2011Q3,Scheme house,Wicklow County Council,17
New Dwelling Completion,2011Q3,Scheme house,Wexford County Council,19
New Dwelling Completion,2011Q3,Scheme house,Ireland,305
New Dwelling Completion,2011Q3,Apartment,Cork City Council,35
New Dwelling Completion,2011Q3,Apartment,Clare County Council,5
New Dwelling Completion,2011Q3,Apartment,Cavan County Council,0
New Dwelling Completion,2011Q3,Apartment,Cork County Council,2
New Dwelling Completion,2011Q3,Apartment,Carlow County Council,0
New Dwelling Completion,2011Q3,Apartment,Dublin City Council,20
New Dwelling Completion,2011Q3,Apartment,Dún Laoghaire Rathdown County Council,4
New Dwelling Completion,2011Q3,Apartment,Donegal County Council,1
New Dwelling Completion,2011Q3,Apartment,Fingal County Council,60
New Dwelling Completion,2011Q3,Apartment,Galway County Council,4
New Dwelling Completion,2011Q3,Apartment,Galway City Council,4
New Dwelling Completion,2011Q3,Apartment,Kildare County Council,0
New Dwelling Completion,2011Q3,Apartment,Kilkenny County Council,0
New Dwelling Completion,2011Q3,Apartment,Kerry County Council,3
New Dwelling Completion,2011Q3,Apartment,Longford County Council,0
New Dwelling Completion,2011Q3,Apartment,Louth County Council,1
New Dwelling Completion,2011Q3,Apartment,Limerick City & County Council,2
New Dwelling Completion,2011Q3,Apartment,Leitrim County Council,0
New Dwelling Completion,2011Q3,Apartment,Laois County Council,1
New Dwelling Completion,2011Q3,Apartment,Meath County Council,0
New Dwelling Completion,2011Q3,Apartment,Monaghan County Council,2
New Dwelling Completion,2011Q3,Apartment,Mayo County Council,10
New Dwelling Completion,2011Q3,Apartment,Offaly County Council,0
New Dwelling Completion,2011Q3,Apartment,Roscommon County Council,0
New Dwelling Completion,2011Q3,Apartment,South Dublin County Council,13
New Dwelling Completion,2011Q3,Apartment,Sligo County Council,3
New Dwelling Completion,2011Q3,Apartment,Tipperary County Council,1
New Dwelling Completion,2011Q3,Apartment,Waterford City & County Council,2
New Dwelling Completion,2011Q3,Apartment,Westmeath County Council,2
New Dwelling Completion,2011Q3,Apartment,Wicklow County Council,1
New Dwelling Completion,2011Q3,Apartment,Wexford County Council,9
New Dwelling Completion,2011Q3,Apartment,Ireland,185
New Dwelling Completion,2011Q3,All house types,Cork City Council,51
New Dwelling Completion,2011Q3,All house types,Clare County Council,47
New Dwelling Completion,2011Q3,All house types,Cavan County Council,45
New Dwelling Completion,2011Q3,All house types,Cork County Council,164
New Dwelling Completion,2011Q3,All house types,Carlow County Council,24
New Dwelling Completion,2011Q3,All house types,Dublin City Council,41
New Dwelling Completion,2011Q3,All house types,Dún Laoghaire Rathdown County Council,15
New Dwelling Completion,2011Q3,All house types,Donegal County Council,115
New Dwelling Completion,2011Q3,All house types,Fingal County Council,96
New Dwelling Completion,2011Q3,All house types,Galway County Council,105
New Dwelling Completion,2011Q3,All house types,Galway City Council,9
New Dwelling Completion,2011Q3,All house types,Kildare County Council,42
New Dwelling Completion,2011Q3,All house types,Kilkenny County Council,84
New Dwelling Completion,2011Q3,All house types,Kerry County Council,77
New Dwelling Completion,2011Q3,All house types,Longford County Council,12
New Dwelling Completion,2011Q3,All house types,Louth County Council,31
New Dwelling Completion,2011Q3,All house types,Limerick City & County Council,55
New Dwelling Completion,2011Q3,All house types,Leitrim County Council,14
New Dwelling Completion,2011Q3,All house types,Laois County Council,25
New Dwelling Completion,2011Q3,All house types,Meath County Council,76
New Dwelling Completion,2011Q3,All house types,Monaghan County Council,33
New Dwelling Completion,2011Q3,All house types,Mayo County Council,124
New Dwelling Completion,2011Q3,All house types,Offaly County Council,24
New Dwelling Completion,2011Q3,All house types,Roscommon County Council,38
New Dwelling Completion,2011Q3,All house types,South Dublin County Council,29
New Dwelling Completion,2011Q3,All house types,Sligo County Council,35
New Dwelling Completion,2011Q3,All house types,Tipperary County Council,73
New Dwelling Completion,2011Q3,All house types,Waterford City & County Council,30
New Dwelling Completion,2011Q3,All house types,Westmeath County Council,24
New Dwelling Completion,2011Q3,All house types,Wicklow County Council,60
New Dwelling Completion,2011Q3,All house types,Wexford County Council,89
New Dwelling Completion,2011Q3,All house types,Ireland,1687
New Dwelling Completion,2011Q4,Single house,Cork City Council,11
New Dwelling Completion,2011Q4,Single house,Clare County Council,56
New Dwelling Completion,2011Q4,Single house,Cavan County Council,23
New Dwelling Completion,2011Q4,Single house,Cork County Council,173
New Dwelling Completion,2011Q4,Single house,Carlow County Council,33
New Dwelling Completion,2011Q4,Single house,Dublin City Council,8
New Dwelling Completion,2011Q4,Single house,Dún Laoghaire Rathdown County Council,14
New Dwelling Completion,2011Q4,Single house,Donegal County Council,78
New Dwelling Completion,2011Q4,Single house,Fingal County Council,10
New Dwelling Completion,2011Q4,Single house,Galway County Council,107
New Dwelling Completion,2011Q4,Single house,Galway City Council,6
New Dwelling Completion,2011Q4,Single house,Kildare County Council,51
New Dwelling Completion,2011Q4,Single house,Kilkenny County Council,46
New Dwelling Completion,2011Q4,Single house,Kerry County Council,69
New Dwelling Completion,2011Q4,Single house,Longford County Council,13
New Dwelling Completion,2011Q4,Single house,Louth County Council,29
New Dwelling Completion,2011Q4,Single house,Limerick City & County Council,74
New Dwelling Completion,2011Q4,Single house,Leitrim County Council,15
New Dwelling Completion,2011Q4,Single house,Laois County Council,20
New Dwelling Completion,2011Q4,Single house,Meath County Council,55
New Dwelling Completion,2011Q4,Single house,Monaghan County Council,27
New Dwelling Completion,2011Q4,Single house,Mayo County Council,74
New Dwelling Completion,2011Q4,Single house,Offaly County Council,19
New Dwelling Completion,2011Q4,Single house,Roscommon County Council,31
New Dwelling Completion,2011Q4,Single house,South Dublin County Council,9
New Dwelling Completion,2011Q4,Single house,Sligo County Council,23
New Dwelling Completion,2011Q4,Single house,Tipperary County Council,60
New Dwelling Completion,2011Q4,Single house,Waterford City & County Council,32
New Dwelling Completion,2011Q4,Single house,Westmeath County Council,22
New Dwelling Completion,2011Q4,Single house,Wicklow County Council,30
New Dwelling Completion,2011Q4,Single house,Wexford County Council,49
New Dwelling Completion,2011Q4,Single house,Ireland,1267
New Dwelling Completion,2011Q4,Scheme house,Cork City Council,7
New Dwelling Completion,2011Q4,Scheme house,Clare County Council,0
New Dwelling Completion,2011Q4,Scheme house,Cavan County Council,14
New Dwelling Completion,2011Q4,Scheme house,Cork County Council,16
New Dwelling Completion,2011Q4,Scheme house,Carlow County Council,5
New Dwelling Completion,2011Q4,Scheme house,Dublin City Council,0
New Dwelling Completion,2011Q4,Scheme house,Dún Laoghaire Rathdown County Council,2
New Dwelling Completion,2011Q4,Scheme house,Donegal County Council,4
New Dwelling Completion,2011Q4,Scheme house,Fingal County Council,12
New Dwelling Completion,2011Q4,Scheme house,Galway County Council,6
New Dwelling Completion,2011Q4,Scheme house,Galway City Council,4
New Dwelling Completion,2011Q4,Scheme house,Kildare County Council,24
New Dwelling Completion,2011Q4,Scheme house,Kilkenny County Council,0
New Dwelling Completion,2011Q4,Scheme house,Kerry County Council,4
New Dwelling Completion,2011Q4,Scheme house,Longford County Council,0
New Dwelling Completion,2011Q4,Scheme house,Louth County Council,6
New Dwelling Completion,2011Q4,Scheme house,Limerick City & County Council,16
New Dwelling Completion,2011Q4,Scheme house,Leitrim County Council,1
New Dwelling Completion,2011Q4,Scheme house,Laois County Council,10
New Dwelling Completion,2011Q4,Scheme house,Meath County Council,11
New Dwelling Completion,2011Q4,Scheme house,Monaghan County Council,4
New Dwelling Completion,2011Q4,Scheme house,Mayo County Council,14
New Dwelling Completion,2011Q4,Scheme house,Offaly County Council,6
New Dwelling Completion,2011Q4,Scheme house,Roscommon County Council,0
New Dwelling Completion,2011Q4,Scheme house,South Dublin County Council,21
New Dwelling Completion,2011Q4,Scheme house,Sligo County Council,1
New Dwelling Completion,2011Q4,Scheme house,Tipperary County Council,8
New Dwelling Completion,2011Q4,Scheme house,Waterford City & County Council,3
New Dwelling Completion,2011Q4,Scheme house,Westmeath County Council,4
New Dwelling Completion,2011Q4,Scheme house,Wicklow County Council,17
New Dwelling Completion,2011Q4,Scheme house,Wexford County Council,6
