Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),530
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),230
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2198
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),370
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),202
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net operating balance - ESA2010 Code  (NOB),1320
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),136
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government Surplus/Deficit - ESA2010 Code (B9),1184
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net acquisition of financial assets,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net incurrence of liabilities,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,Memo: Net derivative flows on debt interest swap contracts,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9365
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8198
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1166
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - ESA2010 Code (TR),10525
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9520
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),8187
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),364
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),329
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),102
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),210
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - ESA2010 Code (TE),7572
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7287
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2118
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1326
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),244
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2055
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),338
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),218
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net operating balance - ESA2010 Code  (NOB),3238
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),285
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government Surplus/Deficit - ESA2010 Code (B9),2953
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Memo: Net derivative flows on debt interest swap contracts,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9964
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8006
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1958
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - ESA2010 Code (TR),9145
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),8172
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),6839
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),357
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),179
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),93
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),344
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - ESA2010 Code (TE),8378
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7877
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2183
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1377
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),317
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2355
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),378
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),280
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net operating balance - ESA2010 Code  (NOB),1269
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),502
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government Surplus/Deficit - ESA2010 Code (B9),767
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Memo: Net derivative flows on debt interest swap contracts,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9856
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8726
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1130
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - ESA2010 Code (TR),10204
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9214
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),7881
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),450
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),128
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),92
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),320
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - ESA2010 Code (TE),9841
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),8808
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2572
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1586
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),316
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2623
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),388
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),335
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net operating balance - ESA2010 Code  (NOB),1396
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1033
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government Surplus/Deficit - ESA2010 Code (B9),363
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Memo: Net derivative flows on debt interest swap contracts,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9249
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8225
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1025
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - ESA2010 Code (TR),9060
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),8235
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),6712
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1523
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),367
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),135
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),70
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),252
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - ESA2010 Code (TE),8273
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7944
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2391
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1408
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),529
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),257
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),253
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2472
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),199
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net operating balance - ESA2010 Code  (NOB),1116
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),329
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government Surplus/Deficit - ESA2010 Code (B9),787
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Memo: Net derivative flows on debt interest swap contracts,0
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9811
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),9112
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),699
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - ESA2010 Code (TR),11209
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9963
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),8439
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1523
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),386
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),516
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),45
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),299
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - ESA2010 Code (TE),9269
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),8690
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2476
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1526
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),529
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),533
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),286
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2679
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),226
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,Net operating balance - ESA2010 Code  (NOB),2519
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),579
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government Surplus/Deficit - ESA2010 Code (B9),1940
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,Net acquisition of financial assets,0
